platform,title,price,raw_price,location,rating,url,description
airbnb,Warehouse Loft Convenient location. Late checkout,274.00,$274,"Richmond, Australia",4.96,https://www.airbnb.com/rooms/30719772?search_mode=regular_search&adults=1&check_in=2026-08-07&check_out=2026-08-09&children=0&infants=0&pets=0&source_impression_id=p3_1771475487_P3Oih9vw8FUZaPhx&previous_page_section_name=1000&federated_search_id=27ccd9bd-a5e9-4df4-ac29-1ab88b8c84f7,"Entire open-plan loft apartment in the heart of Richmond. *Late checkout availabe on request, no extra charge. Set back from Bridge Rd is this hidden gem with a magnificent communal courtyard with fou..."
airbnb,Perfect locale for the traveller,88.00,$88,"Coburg, Australia",4.94,https://www.airbnb.com/rooms/13103304?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-04-24&check_out=2026-04-26&children=0&infants=0&pets=0&photo_id=1175611618&source_impression_id=p3_1771475481_P3N1-DZU6LXhQs_R&previous_page_section_name=1000&federated_search_id=ab9e558f-482b-4bef-8e7d-2c097987c281,"My place is close to Wild Timor Coffee, as well as a large selection of restaurants and cafes. Easy access to public transport, both tram and train. Coburg Leisure Centre and parkland including Merri ..."
airbnb,The St Kilda studio,137.00,$137,"St Kilda, Australia",4.81,https://www.airbnb.com/rooms/17224262?search_mode=regular_search&adults=1&check_in=2026-06-05&check_out=2026-06-07&children=0&infants=0&pets=0&photo_id=267307936&source_impression_id=p3_1771475481_P36RxceOLShV2JCg&previous_page_section_name=1000&federated_search_id=ab9e558f-482b-4bef-8e7d-2c097987c281,"This studio apartment is located in St Kilda, with easy access to Melbourne's CBD, St Kilda Beach, Chapel Street, Acland and Fitzroy Street, Albert Park lake (home of the Australian Grand Prix). St Ki..."
airbnb,"Level 40, Stunning Panorama View",223.00,$223,"Southbank, Australia",4.91,https://www.airbnb.com/rooms/866523591897081705?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-05-01&check_out=2026-05-03&children=0&infants=0&pets=0&photo_id=1628034943&source_impression_id=p3_1771475488_P3HS6azMUKctFmqd&previous_page_section_name=1000&federated_search_id=27ccd9bd-a5e9-4df4-ac29-1ab88b8c84f7,"Experience an elegant private room in a modern 3-bedroom, 2-bath shared apartment with a stunning panoramic view of Melbourne’s skyline, Yarra River, and the iconic Crown Gas Brigades. Enjoy premium..."
airbnb,Large King Sized Bedroom,169.00,$169,"Forest Lodge, Australia",4.91,https://www.airbnb.com/rooms/11480581?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-03-27&check_out=2026-03-29&children=0&infants=0&pets=0&photo_id=1648798402&source_impression_id=p3_1771475525_P3e197w2iy4SRgtO&previous_page_section_name=1000&federated_search_id=9f2a19d2-d316-471d-8a60-f223535f8612,"Large double bedroom in a landmark grand Victorian Home close to the CBD , fish market and Sydney Uni and UTS. The room is large and quiet. This room features a queen sized bed, a TV, abundant natural..."
airbnb,Unique Designer Rooftop Apartment in City Location,172.00,$172,"Sydney, Australia",4.56,https://www.airbnb.com/rooms/15253?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-03-20&check_out=2026-03-22&children=0&infants=0&pets=0&photo_id=2489741934&source_impression_id=p3_1771475526_P3nKBw4zdmRqhnuO&previous_page_section_name=1000&federated_search_id=9f2a19d2-d316-471d-8a60-f223535f8612,
airbnb,Private guest house. Breakfast inc.,238.00,$238,"Rosebery, Australia",4.95,https://www.airbnb.com/rooms/41269659?search_mode=regular_search&adults=1&check_in=2026-03-13&check_out=2026-03-15&children=0&infants=0&pets=0&source_impression_id=p3_1771475535_P3eCBwlrSMfw2PRy&previous_page_section_name=1000&federated_search_id=93ad8d4a-d034-4299-92c0-a5cd9d76ae4d,"Conveniently located 6km from the city, you will feel at home staying on our property. Anything you want to see or do in Sydney is at your fingertips. Our goal is to ensure you have a great stay. We a..."
airbnb,Convenient room in Modern house,118.00,$118,"Kensington, Australia",4.77,https://www.airbnb.com/rooms/932870079956898878?search_mode=regular_search&adults=1&check_in=2026-03-20&check_out=2026-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1771475535_P36yLJHnll8eQ7OI&previous_page_section_name=1000&federated_search_id=93ad8d4a-d034-4299-92c0-a5cd9d76ae4d,"Located in Kingsford is our beautiful convenient House. It is situated in a quiet street within walking distance to the nearest bus station, light rail and within 15-minute walk to UNSW, Randwick race..."
airbnb,A0552/1minute walk from Tanimachi 6-chome station,103.00,$103,"Chuo, Japan",4.89,https://www.airbnb.com/rooms/946101180336744804?search_mode=regular_search&adults=1&check_in=2026-03-13&check_out=2026-03-15&children=0&infants=0&pets=0&source_impression_id=p3_1771475581_P3lUiqRnBX7nAZM9&previous_page_section_name=1000&federated_search_id=45f86b8d-8ca2-45bd-bd85-db768c4d423f,Thank you for your interest in this room. 【Recommend points of the room】 ①1 minute walk from Tanimachi 6-chome subway station. ②Directly connected to Tennoji and Shinsaibashi by train. Sliding...
airbnb,302/1 person/Private bathroom/2 minutes from Emisu-cho Station/2 minutes on foot from Tsutenkaku/50 minutes from Kansai Airport/Orange,77.00,$77,"aparthotel in Naniwa Ward, Japan",4.78,https://www.airbnb.com/rooms/27291340?search_mode=regular_search&adults=1&check_in=2026-03-06&check_out=2026-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1771475586_P3-ClNkmQ6nJZCnA&previous_page_section_name=1000&federated_search_id=00e8c741-8ec4-4c19-b333-cdf9efab872e,"Semi-self-service hotel for private lodging It is equipped with only the simple necessities. We don't do cleaning or linen changes during your stay, but it's reasonably priced. Face towels are changed..."
